first_name,last_name,gender,age,education,marital_status,occupation_group,credit_score,address,city,state,home_build_year
Lutie,Johnson,Female,70,Bach Degree,NA,Retired,336,38918 Frank Meadows Apt. 909,Milton,FL,1990
Jed,Chandler,Male,37,Some College,Married,Blue Collar,674,249 Benjamin Gardens Apt. 431,Pensacola,FL,1998
John,Washington,Male,72,HS Diploma,Married,Retired,551,4672 Zavala Way,Panama city,FL,1992
Jenna,Grant,Female,29,Some College,Single,Professional,623,8948 Megan Throughway,Lynn haven,FL,1995
Lindsey,Erickson,Male,35,Some College,Married,Management,368,3714 Glenn Flats,Fort walton beach,FL,1985
Charles,Anderson,Male,58,Grad Degree,Married,Management,798,9362 Taylor Neck,Milton,FL,1987
Ronald,Delacruz,Male,70,HS Diploma,Married,Blue Collar,721,824 Kristina Street Apt. 028,Pensacola,FL,2001
John,Newman,Male,42,Some College,Married,Technical,389,17120 Medina Trafficway Suite 053,Pensacola,FL,1982
Rex,Clark,Male,59,Some College,Single,Retired,455,081 Sarah Cape Suite 231,Pensacola,FL,1985
Andrew,Fields,Male,39,Bach Degree,Married,Management,459,244 Elijah Shoal,Chipley,FL,1994
Riley,Stanley,Male,82,Bach Degree,Married,Retired,602,80307 Christopher Mountain,Pensacola,FL,2008
Leah,James,Female,34,Some College,Married,Professional,484,8507 Claire Parkways Apt. 438,Panama city beach,FL,1990
Ian,Jackson,Male,63,HS Diploma,Married,Blue Collar,334,583 Emily Rest Suite 913,Mary esther,FL,2003
John,Bailey,Male,60,HS Diploma,Married,Blue Collar,824,20205 Abigail Summit,Pensacola,FL,2009
Nathaniel,Giles,Male,29,Some College,Single,Blue Collar,385,522 Johnson Fork Suite 455,Milton,FL,1972
Joshua,Rivera,Male,32,Bach Degree,Married,Blue Collar,726,08088 Jason Hollow,Destin,FL,2007
Sylvia,Stephens,Female,63,HS Diploma,NA,Other,602,420 Jacqueline Villages Suite 429,Gulf breeze,FL,1985
Zachary,Dawson,Male,29,HS Diploma,Single,Other,463,673 Jason Flats Apt. 874,Gulf breeze,FL,2022
Christina,Hood,Female,34,Some College,Married,Other,381,0630 Jason Bypass,Pensacola,FL,1971
Robin,Kemp,Female,46,HS Diploma,Married,Other,465,9388 Mitchell Pike,Cantonment,FL,1983
Sarah,Olson,Female,84,HS Diploma,Married,Retired,617,23906 Davis Harbors Suite 900,Pensacola,FL,1999
James,Cochran,Male,42,Some College,Married,Management,416,87842 Lewis Springs Suite 413,Niceville,FL,2004
Richey,Graham,Male,75,Less than HS Diploma,Married,Retired,583,008 James Stream,Panama city,FL,1974
Michael,Houston,Male,51,Some College,Married,Sales,652,360 Lamb Union,Pensacola,FL,1972
Trevor,Baker,Male,44,Bach Degree,Married,Management,749,78496 Smith Harbor,Fort walton beach,FL,2012
Deborah,Campbell,Female,55,Bach Degree,Married,Professional,821,10809 Rebecca Mountain Suite 953,Panama city,FL,2017
Sandra,Santiago,Female,57,HS Diploma,NA,Professional,354,184 Jimmy Underpass,Molino,FL,2005
Traci,Ford,Female,48,Some College,Married,Professional,670,32049 Hoffman Vista Apt. 170,Panama city,FL,2000
Eugene,Gibson,Male,57,Some College,Married,Blue Collar,385,75607 Hughes Cliff Suite 395,Baker,FL,1979
Annie,Whitaker,Female,79,Bach Degree,NA,Professional,590,438 Hansen Meadow Apt. 544,Chipley,FL,1993
Earl,West,Male,65,HS Diploma,NA,Retired,740,977 Robert Rue,Pensacola,FL,2011
Thomas,Cummings,Male,61,Bach Degree,Married,Office Administration,528,6501 Dawn Mill,Pensacola,FL,2018
Thomas,Wolfe,Male,41,Bach Degree,Married,Technical,424,57518 Acosta Place Apt. 979,Pensacola,FL,1975
Debra,Gaines,Female,59,HS Diploma,NA,Sales,306,718 Black Walks Apt. 880,Century,FL,2019
Savannah,James,Female,26,HS Diploma,NA,Professional,409,9968 Jimmy Gateway,Pensacola,FL,2022
Hayley,Ritter,Female,34,Grad Degree,Married,Other,835,612 Spencer Summit Suite 962,Niceville,FL,1970
Michael,Crawford,Male,33,Some College,Married,Blue Collar,362,3165 Becky Camp Apt. 923,Crestview,FL,1979
Nicki,Quinn,Female,27,HS Diploma,Married,Other,332,7343 Kelly Extension Apt. 101,Pensacola,FL,1974
Margaret,Franklin,Female,76,HS Diploma,NA,Retired,446,2555 Cheryl Forge Suite 483,Milton,FL,2008
Timothy,Stevens,Male,62,HS Diploma,Married,Blue Collar,476,82194 Daniel Walk,Milton,FL,1987
Veryl,Smith,Male,67,HS Diploma,NA,Retired,675,29535 Flores Port Apt. 566,Chipley,FL,1981
Sonja,Mccarthy,Female,23,Some College,Married,Sales,783,096 Sheila Crossroad Suite 927,Milton,FL,1976
Keri,Gates,Female,32,Some College,Married,Other,836,64165 Nguyen Trace,Pensacola,FL,1982
Robert,Davis,Male,52,Some College,Married,Blue Collar,588,677 Teresa Lane Suite 664,Panama city,FL,1985
Richard,Greene,Male,64,Bach Degree,Married,Sales,741,2482 Mosley Fall,Pensacola,FL,1970
Gerry,Davis,Male,77,Some College,Married,Retired,790,24311 Thompson Alley Apt. 253,Milton,FL,1982
David,Mcguire,Male,84,HS Diploma,Married,Professional,627,716 Fleming Trafficway,Lynn haven,FL,1972
Willie,Ward,Male,75,Less than HS Diploma,Married,Blue Collar,532,9813 Chad Mission,Panama city,FL,1993
Vicki,Mitchell,Female,45,Bach Degree,Married,Office Administration,561,98405 Marcus Ferry Suite 693,Pensacola,FL,1993
John,Villa,Male,57,Some College,Married,Blue Collar,772,59749 Jeffrey Drives Apt. 744,Chipley,FL,2010
Tamuera,Hernandez,Female,41,Some College,Married,Professional,701,997 Ryan Branch Suite 594,Cantonment,FL,1981
David,Massey,Male,53,Grad Degree,Married,Blue Collar,790,81172 Deborah Lodge,Crestview,FL,1978
Marc,Delgado,Male,43,Some College,Married,Technical,750,289 Rivera Plains,Navarre,FL,1999
Carl,Powell,Male,84,Grad Degree,Married,Other,368,3064 Gomez Vista Apt. 615,Milton,FL,2018
Marie,Morris,Female,69,HS Diploma,Married,Retired,677,04305 Jacob Land Apt. 900,Panama city,FL,1977
Warren,Bailey,Male,63,HS Diploma,Married,Other,487,4316 Erica Springs Apt. 195,Gulf breeze,FL,2001
Charles,Morrow,Male,63,HS Diploma,Married,Office Administration,475,179 Little Rue,Cantonment,FL,2014
Joseph,Willis,Male,54,Some College,NA,Blue Collar,836,042 Hicks Harbor Apt. 469,Milton,FL,2013
Chris,Delgado,Male,55,HS Diploma,Married,Blue Collar,789,5501 Vaughn Place Apt. 613,Pensacola,FL,1984
Kevin,Huff,Male,73,HS Diploma,Married,Retired,768,61943 Young Islands,Pensacola,FL,2020
Britton,Bradley,Male,30,Grad Degree,Married,Blue Collar,828,44191 James Avenue,Crestview,FL,1992
Marie,Jordan,Female,37,Bach Degree,Married,Other,476,50429 Michael Plain Apt. 548,Milton,FL,1982
Jennifer,Jones,Female,51,Grad Degree,Married,Professional,671,47398 Briana Club,Milton,FL,1994
Joseph,Mueller,Male,65,HS Diploma,Married,Retired,770,0220 Scott Wells,Niceville,FL,2006
Cheryl,Saunders,Female,61,Some College,NA,Office Administration,782,1894 Joseph Pass Suite 766,Pensacola,FL,2017
Lorenzo,Rivera,Male,39,HS Diploma,Married,Office Administration,495,00083 Hartman Club Suite 042,Pensacola,FL,2019
Michael,Lindsey,Male,60,HS Diploma,Married,Blue Collar,482,81393 Lewis Plaza,Niceville,FL,1970
David,Sims,Male,56,Bach Degree,Married,Other,459,387 Ariana Roads Apt. 150,Cantonment,FL,1971
Daphna,Collins,Female,78,Grad Degree,Married,Retired,786,01429 Rhonda Lane Suite 360,Pensacola,FL,1975
Randy,King,Male,65,Some College,Married,Retired,811,0379 Anderson Way Apt. 304,Fairburn,GA,2002
Phillip,White,Male,43,Some College,Married,Technical,782,8937 Wilson Shoals Suite 961,Panama city,FL,2013
Gordon,Webb,Male,68,Some College,Married,Retired,302,82132 Zachary Port,Defuniak springs,FL,2011
Robert,Patterson,Male,36,Grad Degree,Married,Blue Collar,538,2980 Doyle Falls,Milton,FL,1990
David,Bradley,Male,66,HS Diploma,Married,Retired,506,35022 Joseph Unions,Pensacola,FL,1996
Nancy,Olson,Female,69,Bach Degree,Married,Office Administration,767,650 Powers Pine Apt. 471,Pensacola,FL,1982
James,Ray,Male,57,Less than HS Diploma,Married,Management,707,1179 Leslie Freeway,Milton,FL,1991
Mike,Duke,Male,60,Less than HS Diploma,Married,Management,431,88936 Olson Court,Fort walton beach,FL,2019
Mariah,Curtis,Female,33,Grad Degree,NA,Professional,630,0666 Cassandra River Apt. 928,Navarre,FL,1972
George,Walter,Male,66,Less than HS Diploma,Married,Retired,755,8062 Lori Mission,Milton,FL,1998
James,Meyer,Male,61,Grad Degree,Married,Management,806,122 Shannon Trail Apt. 292,Shalimar,FL,2007
Michael,Thompson,Male,51,Some College,Married,Other,697,23148 Kathryn Mountains Apt. 111,Pensacola,FL,1991
Aimee,Lee,Female,29,Less than HS Diploma,NA,Other,588,492 Thompson Dam Suite 400,Pensacola,FL,1994
Larry,Avery,Male,71,Grad Degree,Married,Retired,518,37847 Smith Brook,Cantonment,FL,1977
Damarius,Walker,Male,29,Some College,Married,Management,590,29122 Joseph Expressway Apt. 258,Pensacola,FL,1990
Katherine,Spence,Female,64,Bach Degree,NA,Professional,729,57841 Turner Locks Suite 768,Miramar beach,FL,2001
Christian,Phillips,Male,30,Some College,Married,Blue Collar,656,5586 Jennifer Mission Apt. 077,Panama city,FL,1973
Joshua,Howard,Male,48,Some College,Married,Management,437,084 Newman Path,Gulf breeze,FL,2005
Morris,Hays,Male,59,Some College,Married,Professional,577,5753 Aguilar Ridge Suite 722,Milton,FL,1993
John,Gordon,Male,72,Bach Degree,Married,Retired,323,4156 Berger Forks,Gulf breeze,FL,1975
Kirkland,Ortiz,Male,34,Bach Degree,Married,Sales,519,376 Patrick Squares Apt. 892,Milton,FL,2013
Dale,Hall,Male,50,Some College,Married,Management,799,0544 Walker Hollow,Pensacola,FL,1971
Ryan,Berry,Male,31,HS Diploma,Single,Other,427,497 Dyer Isle Suite 811,Pensacola,FL,2006
Dennis,Moran,Male,50,HS Diploma,Married,Blue Collar,495,8330 Robin Drive,Panama city beach,FL,1972
Maefrank,Avila,Female,85,HS Diploma,Married,Retired,648,6095 Jackson Trail,Cantonment,FL,2023
Gregory,Ball,Male,58,Some College,Married,Professional,323,623 George Lock Suite 762,Navarre,FL,2016
Randolph,Cruz,Male,55,Bach Degree,Married,Blue Collar,485,9292 Richard Burg,Graceville,FL,2003
Robert,Kemp,Male,66,Some College,Married,Retired,638,92704 Jessica Underpass,Pensacola,FL,2007
Luis,Moore,Male,52,Less than HS Diploma,Married,Management,611,82174 Todd Ford Apt. 689,Pensacola,FL,1980
Andrew,Irwin,Male,77,Grad Degree,Married,Sales,395,633 Barton Oval Suite 969,Pensacola,FL,1987
Rena,George,Female,81,Less than HS Diploma,NA,Retired,801,2846 Sanchez Crescent,Panama city,FL,2012
L,Mitchell,Male,77,Less than HS Diploma,Married,Retired,508,57765 Johnson Ford,Panama city,FL,1984
Darcy,Little,Female,41,Grad Degree,Married,Other,548,695 Morris Plains,Destin,FL,1974
Heather,Mcgrath,Female,39,Bach Degree,Married,Professional,569,44042 Anna Viaduct,Destin,FL,1986
Stanley,Silva,Male,75,HS Diploma,Married,Retired,660,0709 Richard Fork Apt. 616,Pensacola,FL,2022
Mary,Powell,Female,59,Bach Degree,Single,Other,563,30736 Lopez Islands,Pensacola,FL,2015
Bernadette,Lewis,Female,61,HS Diploma,Married,Office Administration,723,9737 Wanda Rapids,Pensacola,FL,1994
Luis,Pruitt,Male,42,Less than HS Diploma,Married,Blue Collar,350,324 Anderson Gateway,Cantonment,FL,2008
Charles,Vaughn,Male,61,HS Diploma,Married,Blue Collar,601,98455 Devon Glens,Fort walton beach,FL,1993
Robert,Barnett,Male,35,Bach Degree,Married,Other,758,0879 Amy Cape Apt. 980,Pensacola,FL,1989
Mark,Cook,Male,45,Bach Degree,Married,Blue Collar,597,93899 Mcdowell Mill,Fort walton beach,FL,1995
Barbara,Hall,Female,63,HS Diploma,Married,Other,376,10343 Kim Squares Suite 643,Pensacola,FL,2001
Dawn,Ali,Female,66,HS Diploma,NA,Retired,642,613 Chavez Inlet Apt. 262,Lynn haven,FL,1982
Marco,Perez,Male,27,Less than HS Diploma,Single,Blue Collar,540,1431 Chen Landing,Gulf breeze,FL,1984
Terrie,Herrera,Female,62,Some College,NA,Office Administration,404,490 Davis Estate,Fort walton beach,FL,1970
Geraldine,Garcia,Female,61,HS Diploma,Single,Other,402,93077 Forbes Fields,Pensacola,FL,1972
Chancey,Horne,Male,33,Some College,Married,Sales,347,94517 Hill Land Suite 841,Lynn haven,FL,1971
Scott,Kirk,Male,60,Bach Degree,Married,Management,368,1663 Angela Springs,Pensacola,FL,2014
Antonio,Mitchell,Male,34,Less than HS Diploma,Married,Blue Collar,588,31021 John Lakes,Navarre,FL,2010
Kelsey,Berry,Female,30,Grad Degree,Married,Other,803,77376 Patterson Cliff,Panama city,FL,1981
Norman,Bell,Male,58,Bach Degree,Married,Management,595,45533 Cox Courts Suite 104,Santa rosa beach,FL,2012
Donald,Hernandez,Male,71,Bach Degree,Married,Management,416,57442 Mitchell Pass,Pensacola,FL,1974
Richard,Hansen,Male,71,Grad Degree,Married,Blue Collar,702,98153 Gardner Glen Apt. 594,Gulf breeze,FL,1991
John,Ford,Male,67,Some College,Married,Retired,825,82309 Sydney Well,Navarre,FL,1993
Jerry,Cantu,Male,57,Some College,Married,Professional,672,0331 Robinson Estates Suite 957,Pensacola,FL,1980
Daniel,Hernandez,Male,62,HS Diploma,Married,Blue Collar,480,81927 Porter Trail,Pensacola,FL,1982
Timothy,Cross,Male,32,Some College,Married,Blue Collar,441,864 Janet Track,Milton,FL,2021
Charles,Snow,Male,39,Bach Degree,Married,Management,672,046 King Spurs,Gulf breeze,FL,2010
Robert,Perry,Male,61,Bach Degree,Married,Technical,316,205 Michael Trace Apt. 154,Gulf breeze,FL,2004
James,Cabrera,Male,83,Grad Degree,Married,Professional,726,906 Perez Island,Cantonment,FL,2023
James,Johnson,Male,79,Bach Degree,Married,Sales,520,5262 John Village Apt. 892,Pensacola,FL,1976
